Name,OName,RAJ2000,Ref1,f_Ref1,SubG,SimbadName,MType,n_Name
"The Galaxy","The MW",266.41666666666663,"", ,"MW  ","","S(B)bc","G  "
"Canis Major","",108.14583333333331,"300", ,"MW  ","Canis Major","????","G  "
"Sagittarius dSph","",283.83124999999995,"301", ,"MW  ","Sagittarius dSph","dSph","G  "
"Segue (I)","",151.76666666666665,"302", ,"MW  ","Segue1","dSph","G  "
"Ursa Major II","",132.87499999999997,"303", ,"MW  ","UMA II GALAXY","dSph","G  "
"Bootes II","",209.49999999999997,"304", ,"MW  ","Bootes II","dSph","G  "
"Segue II","",34.81666666666666,"305", ,"MW  ","Segue2","dSph","G  "
"Willman 1","SDSS J1049+5103",162.33749999999998,"306", ,"MW  ","WILLMAN I","dSph","G  "
"Coma Berenices","",186.7458333333333,"302", ,"MW  ","Coma Berenices","dSph","G  "
"Bootes III","",209.29999999999998,"307", ,"MW  ","Bootes III","dSph?","G  "
"LMC","Nubecula Major",80.89374999999998,"", ,"MW  ","LMC","Irr","G  "
"SMC","Nubecula Minor,NGC 292",13.186666666666666,"", ,"MW  ","SMC","dIrr","G  "
"Bootes (I)","",210.02499999999998,"308", ,"MW  ","Bootes I","dSph","G  "
"Draco","UGC 10822,DDO 208",260.0516666666666,"309", ,"MW  ","UGC 10822","dSph","G  "
"Ursa Minor","UGC 9749,DDO 199",227.28541666666663,"309", ,"MW  ","Ursa Minor","dSph","G  "
"Sculptor","",15.039166666666665,"310", ,"MW  ","SCULPTOR GALAXY","dSph","G  "
"Sextans (I)","",153.2625,"311", ,"MW  ","SEXTANS GALAXY","dSph","G  "
"Ursa Major (I)","",158.71999999999997,"312", ,"MW  ","UMA I GALAXY","dSph","G  "
"Carina","",100.40291666666666,"313", ,"MW  ","CARINA dSph","dSph","G  "
"Hercules","",247.7583333333333,"302", ,"MW  ","HERCULES DWARF GALAXY","dSph","G  "
"Fornax","",39.99708333333333,"314", ,"MW  ","FORNAX DWARF SPHEROIDAL","dSph","G  "
"Leo IV","",173.23749999999998,"302", ,"MW  ","Leo IV","dSph","G  "
"Canes Venatici II","SDSS J1257+3419",194.29166666666663,"315,302", ,"MW  ","CVn II dSph","dSph","G  "
"Leo V","",172.78999999999996,"316", ,"MW  ","Leo V","dSph","G  "
"Pisces II","",344.6291666666666,"317", ,"MW  ","Pisces II","dSph","G  "
"Canes Venatici (I)","",202.0145833333333,"318", ,"MW  ","CVn I dSph","dSph","G  "
"Leo II","Leo B,UGC 6253,DDO 93",168.36999999999998,"319", ,"MW  ","Leo II","dSph","G  "
"Leo I","UGC 5470,DDO 74,Regulus Dwarf",152.1170833333333,"319", ,"MW  ","Leo I","dSph","G,L"
"Andromeda","M31,NGC 224,UGC 454",10.684583333333332,"", ,"M31 ","Andromeda","Sb","A  "
"M32","NGC 221,UGC 452",10.674166666666665,"320", ,"M31 ","M 32","cE","A  "
"Andromeda IX","",13.220833333333331,"321", ,"M31 ","Andromeda IX","dSph","A  "
"NGC 205","M110,UGC 426",10.092083333333331,"322", ,"M31 ","NGC 205","dE/dSph","A  "
"Andromeda XVII","",9.279166666666665,"323", ,"M31 ","Andromeda XVII","dSph","A  "
"Andromeda I","",11.415833333333332,"324", ,"M31 ","Andromeda I","dSph","A  "
"Andromeda XXVII","",9.362916666666665,"325", ,"M31 ","Andromeda XXVII","dSph","A  "
"Andromeda III","",8.890833333333331,"324", ,"M31 ","Andromeda III","dSph","A  "
"Andromeda XXV","",7.5370833333333325,"325", ,"M31 ","Andromeda XXV","dSph","A  "
"Andromeda XXVI","",5.9399999999999995,"325", ,"M31 ","Andromeda XXVI","dSph","A  "
"Andromeda XI","",11.583333333333332,"326", ,"M31 ","Andromeda XI","dSph","A  "
"Andromeda V","",17.57125,"327", ,"M31 ","Andromeda V","dSph","A  "
"Andromeda X","",16.640416666666663,"328", ,"M31 ","Andromeda X","dSph","A  "
"Andromeda XXIII","",22.34083333333333,"325", ,"M31 ","Andromeda XXIII","dSph","A  "
