SubG	Name		RA		DEC		(m-M)		e_(m-M)		E_(m-M)		e		de-		de+		mu_vo		e_mu_vo		E_mu_vo		sigma		e_sigma		E_sigma		MV		e_MV		E_MV		n		e_n		rs		e_rs		E_rs		Mdyn		e_Mdyn		E_Mdyn		ML		e_ML		E_ML		Dmin
#-	-		J2000		J2000		mag		mag		mag		-		-		-		mag/arcsec^2					km/s						mag						-		-		pc						1E6Msun						Msun/Lsun					kpc
#------	-------------	--------------	--------------	----------------------------------------------	----------------------------------------------	----------------------------------------------	-----------------------------------------------	----------------------------------------------	-------------------------------	----------------------------------------------	-----------------------------------------------	----------------------------------------------	-----------
ISO	And XXVIII	22h32m41.2s	+31d12m58.0s	24.44		0.04		0.04		0.42		0.06		0.06		25.5		0.9		0.9		6.6		2.1		2.9		-9.1		0.5		0.5		0.84		0.13		316		22		22		12.6		8		11		61		43		92		374
ISO	And XXXIII 	03h01m23.6s	+40d59m18.0s	24.18		0.09		0.11		0.04		0.08		0.08		26.0		1.7		1.7		-		-		-		-8.9		1.8		1.8		0.79		0.63		276		41		41		-		-		-		-		-		-		341
ISO	IC 1613 	01h04m47.8s	+02d0.7m4.0s	24.18		0.06		0.06		0.2		0.05		0.05		23.3		0.4		0.4		10.8		0.9		1		-15.72		0.09		0.09		0.43		0.02		1511		42		42		164		28		31		2		0.4		0.4		503
ISO	Phoenix		01h51m06.3s	-44d26m41.0s	23.06		0.12		0.12		0.3		0.03		0.03		25.8		-		-		9.3		0.7		0.7		-9.89		0.42		0.42		-		-		274		18		18		22		3		4		57		19		30		409
ISO	NGC 6822	19h44m56.6s	-14d47m21.0s	23.78		0.05		0.05		0.28		0.15		0.15		22.5		0.04		0.04		23.2		1.2		1.2		-16.47		0.08		0.08		0.73		0.02		0.02		1980		45		992		101		105		6		0.7		0.8		563
ISO	Cetus		00h26m11.0s	-11d02m40.0s	24.39		0.07		0.07		0.33		0.06		0.06		25.0		0.2		0.2		8.3		1.0		1.0		-11.29		0.21		0.21		-		-		703		32		32		45		10		12		32		9		11		679
ISO	Peg DIG		23h28m36.3s	+14d44m35.0s	24.77		0.04		0.04		0.56		0.05		0.05		23.3		0.05		0.05		12.3		1.1		1.2		-13.6		0.1		0.1		0.77		0.03		995		25		25		140		25		28		12		2		3		463
ISO	Leo T		09h34m53.4s	+17d03m05.0s	23.08		0.08		0.08		0.12		0.08		0.08		25.4		1.3		1.3		7.5		1.6		1.6		-8.3		1.1		1.1		0.86		0.36		167		25		25		9		3		4		100		67		191		418
ISO	WLM		00h01m58.2s	-15d27m39.0s	24.85		0.05		0.05		0.54		0.06		0.06		22.7		0.5		0.5		17.5		2		2		-14.52		0.15		0.15		0.77		0.04		1114		44		44		300		36		37		10		0.9		1.5		835
ISO	And XVIII	00h02m14.5s	+45d05m20.0s	25.36		0.08		0.08		0.44		0.12		0.12		23.5		0.7		0.7		9.7		2.3		2.3		-10.9		0.3		0.3		0.95		0.1		316		22		22		27		12		15		28		13		20		424
ISO	Leo A		09h59m26.5s	+30d44m47.0s	24.28		0.05		0.05		0.42		0.05		0.05		24.0		0.6		0.6		9.0		0.6		0.8		-11.7		0.3		0.3		0.72		0.72		4.79		21		21		36		5		6		18		5		6		722
ISO	Aquarius	20h46m51.8s	-12d50m53.0s	24.97		0.05		0.05		0.52		0.05		0.05		24.7		0.9		0.9		7.8		1.1		1.8		-10.92		0.18		0.18		0.61		0.05		468		26		26		26		9		11		26		11		15		981
ISO	Tucana		22h41m49.6s	-64d25m10.0s	24.74		0.12		0.12		0.48		0.03		0.03		25.0		0.1		0.1		15.8		3.1		4.1		-9.54		0.25		0.25		-		-		284		54		54		64		27		37		232		113		168		883
ISO	Sag DIG		19h29m59.0s	-17d40m51.0s	25.39		0.08		0.08		0.56		0.18		0.18		24.1		0.7		0.7		9.4		1.1		1.5		-11.4		0.2		0.2		0.75		0.07		497		34		34		40		11		12		26		9		12		1190
ISO	UGC 4879	09h16m02.2s	+52d50m24.0s	25.42		0.06		0.06		0.43		0.6		0.6		22.7		0.9		0.9		9.6		1.2		1.3		-11.7		0.6		0.6		1.28		0.17		400		35		35		34		9		10		17		7		13		1219
MW	Sag Sph		18h55m19.5s	-30d32m43.0s	17.10		0.15		0.15		0.64		0.02		0.02		25.2		0.3		0.3		11.4		0.7		0.7		-13.5		0.3		0.3		-		-		2600		200		200		316		43		48		29		9		12		19
MW	Draco		17h20m12.4s	+57d54m55.0s	19.40		0.17		0.17		0.3		0.01		0.01		25.12		0.07		0.07		9.1		1.2		1.2		-8.71		0.17		0.17		0.96		0.02		219		18		18		17		4		5		128		36		45		76
MW	Ursa Minor	15h09m08.5s	+67d13m21.0s	19.40		0.10		0.10		0.55		0.01		0.01		25.77		0.08		0.08		9.5		1.2		1.2		-9.03		0.12		0.12		0.82		0.01		382		18		18		32		8		9		183		47		56		78
MW	Sculptor	01h00m09.4s	-33d42m33.0s	19.67		0.14		0.14		0.37		0.01		0.01		23.29		0.15		0.15		9.2		0.2		0.2		-10.82		0.14		0.14		1.16		0.01		308		21		21		32		8		9		27		9		9		86
MW	Carina		06h41m36.7s	-50d57m58.0s	20.11		0.13		0.13		0.37		0.01		0.01		25.35		0.07		0.07		6.7		0.3		0.3		-9.43		0.15		0.15		0.94		0.01		349		22		22		14		5		6		55		19		25		107
MW	Fornax		02h39m59.3s	-34d26m57.0s	20.84		0.18		0.18		0.28		0.01		0.01		23.59		0.16		0.16		11.8		0.2		0.2		-13.46		0.24		0.24		0.71		0.01		788		69		69		100		16		19		10		2		3		149
MW	Leo II		11h13m28.8s	+22d09m06.0s	21.84		0.13		0.13		0.07		0.02		0.02		24.24		0.07		0.07		6.6		0.7		0.7		-9.74		0.16		0.16		0.71		0.02		168		11		11		6.8		1.4		1.6		20		5		6		236
MW	Leo I		10h08m28.1s	+12d18m23.0s	22.02		0.13		0.13		0.3		0.01		0.01		22.61		0.3		0.3		9.2		0.4		0.4		-11.78		0.33		0.33		0.77		0.02		243		15		15		19		2		2		9		2		3		257
M31	M32		00h42m41.8s	+40d51m55.0s	24.53		0.21		0.21		0.25		0.02		0.02		11.1		-		-		92.0		5		5		-16.4		0.2		0.2		-		-		110		16		16		861		147		164		5.4		1.3		1.7		26
M31	NGC 205		00h40m22.1s	+41d41m07.0s	24.58		0.07		0.07		0.43		0.1		0.1		19.2		-		-		35.0		5		5		-16.48		0.12		0.12		-		-		590		16		16		667		178		209		4		1.1		1.4		45
M31	And I 		00h45m39.8s	+38d02m28.0s	24.36		0.07		0.07		0.28		0.3		0.3		25.4		0.2		0.2		10.2		1.9		1.9		-11.2		0.2		0.2		-		-		815		40		40		79		27		32		61		22		28		56
M31	And XVII	00h37m07.0s	+44d19m20.0s	24.31		0.08		0.11		0.5		0.1		0.1		26.4		0.3		0.4		2.9		1.9		2.2		-7.8		0.3		0.3		-		-		285		45		55		2.2		1.9		4.4		39		34		84		67
M31	And III		00h35m33.8s	+36d29m52.0s	24.37		0.07		0.07		0.59		0.04		0.04		25.1		0.3		0.3		9.3		1.4		1.4		-9.5		0.3		0.3		-		-		405		35		35		33		9		11		119		41		59		73
M31	And V		01h19m17.1s	+47d37m41.0s	24.44		0.08		0.08		0.26		0.07		0.09		25.6		0.3		0.3		11.5		4.4		5.4		-9.3		0.2		0.2		-		-		345		40		40		47		16		20		211		83		112		109
M31	And XX		00h07m30.7s	+35d07m56.0s	24.35		0.16		0.12		0.11		0.11		0.41		25.8		0.7		0.7		7.1		2.5		3.9		-6.4		0.4		0.5		-		-		90		20		35		4		3		5		242		197		465		128
M31	And XXXII	00h35m59.4s	+51d33m35.0s	24.45		0.14		0.14		0.5		0.09		0.09		26.4		0.8		0.8		8.4		0.6		0.6		-12.3		0.7		0.7		-		-		1468		244		288		142		34		40		41		21		42		140
M31	NGC 147		00h33m12.1s	+48d30m32.0s	24.15		0.09		0.09		0.41		0.02		0.02		21.2		-		-		16.0		1		1		-14.65		0.13		0.13		-		-		623		-		-		148		18		19		4.8		0.8		0.9		140
M31	And XXX		00h36m34.9s	+49d38m48.0s	24.17		0.26		0.10		0.43		0.12		0.1		26.1		0.3		0.3		11.8		4.7		7.7		-8.0		0.3		0.4		-		-		270		50		50		33		26		47		488		411		957		145
M31	And XIV		00h51m35.0s	+29d41m49.0s	24.50		0.56		0.06		0.17		0.17		0.16		26.3		0.3		0.3		5.3		1.0		1.0		-8.5		0.3		0.4		-		-		265		-		-		7		2		3		64		25		36		161
M31	Anx XV		01h14m18.7s	+38d07m03.0s	23.98		0.12		0.26		0.24		0.1		0.1		26.1		0.3		0.3		4.0		1.4		1.4		-8		0.4		0.3		-		-		230		25		35		3		2		3		48		29		53		176
