SubG,Name,OName,SimbadName,n_Name,MType,RAJ2000,DEJ2000,Ref1,f_Ref1
MW,The Galaxy,The MW,,G,S(B)bc,266.41666666666663,-29.007777777777775,,
MW,Canis Major,,Canis Major,G,????,108.14583333333331,-27.666666666666664,300,
MW,Sagittarius dSph,,Sagittarius dSph,G,dSph,283.83124999999995,-30.545277777777773,301,
MW,Segue (I),,Segue1,G,dSph,151.76666666666665,16.081944444444442,302,
MW,Ursa Major II,,UMA II GALAXY,G,dSph,132.87499999999997,63.12999999999999,303,
MW,Bootes II,,Bootes II,G,dSph,209.49999999999997,12.849999999999998,304,
MW,Segue II,,Segue2,G,dSph,34.81666666666666,20.175277777777776,305,
MW,Willman 1,SDSS J1049+5103,WILLMAN I,G,dSph,162.33749999999998,51.04999999999999,306,
MW,Coma Berenices,,Coma Berenices,G,dSph,186.7458333333333,23.904166666666665,302,
MW,Bootes III,,Bootes III,G,dSph?,209.29999999999998,26.799999999999997,307,
MW,LMC,Nubecula Major,LMC,G,Irr,80.89374999999998,-69.7561111111111,,
MW,SMC,"Nubecula Minor,NGC 292",SMC,G,dIrr,13.186666666666666,-72.8286111111111,,
MW,Bootes (I),,Bootes I,G,dSph,210.02499999999998,14.499999999999998,308,
MW,Draco,"UGC 10822,DDO 208",UGC 10822,G,dSph,260.0516666666666,57.91527777777777,309,
MW,Ursa Minor,"UGC 9749,DDO 199",Ursa Minor,G,dSph,227.28541666666663,67.2225,309,
MW,Sculptor,,SCULPTOR GALAXY,G,dSph,15.039166666666665,-33.70916666666666,310,
MW,Sextans (I),,SEXTANS GALAXY,G,dSph,153.2625,-1.614722222222222,311,
MW,Ursa Major (I),,UMA I GALAXY,G,dSph,158.71999999999997,51.919999999999995,312,
MW,Carina,,CARINA dSph,G,dSph,100.40291666666666,-50.966111111111104,313,
MW,Hercules,,HERCULES DWARF GALAXY,G,dSph,247.7583333333333,12.791666666666664,302,
MW,Fornax,,FORNAX DWARF SPHEROIDAL,G,dSph,39.99708333333333,-34.44916666666666,314,
MW,Leo IV,,Leo IV,G,dSph,173.23749999999998,-0.5333333333333332,302,
MW,Canes Venatici II,SDSS J1257+3419,CVn II dSph,G,dSph,194.29166666666663,34.320833333333326,"315,302",
MW,Leo V,,Leo V,G,dSph,172.78999999999996,2.2199999999999998,316,
MW,Pisces II,,Pisces II,G,dSph,344.6291666666666,5.952499999999999,317,
MW,Canes Venatici (I),,CVn I dSph,G,dSph,202.0145833333333,33.555833333333325,318,
MW,Leo II,"Leo B,UGC 6253,DDO 93",Leo II,G,dSph,168.36999999999998,22.151666666666664,319,
MW,Leo I,"UGC 5470,DDO 74,Regulus Dwarf",Leo I,"G,L",dSph,152.1170833333333,12.306388888888888,319,
M31,Andromeda,"M31,NGC 224,UGC 454",Andromeda,A,Sb,10.684583333333332,41.26916666666666,,
M31,M32,"NGC 221,UGC 452",M 32,A,cE,10.674166666666665,40.86527777777777,320,
M31,Andromeda IX,,Andromeda IX,A,dSph,13.220833333333331,43.195833333333326,321,
M31,NGC 205,"M110,UGC 426",NGC 205,A,dE/dSph,10.092083333333331,41.68527777777777,322,
