SubG,Name,n_Name,Mass,sigma*,e_sigma*,E_sigma*,l_sigma*,vsini*,e_vsini*,M_HI,sigHI,e_sigHI,l_sigHI,v_HI,e_v_HI,l_v_HI,Mdyn
"MW  ","The Galaxy","G  ",,,,,"  ",,,,,, ,,,"  ",
"MW  ","Canis Major","G  ",49.0,20.0,3.0,3.0,"  ",,,,,, ,,,"  ",
"MW  ","Sagittarius dSph","G  ",21.0,11.4,0.7,0.7,"  ",,,,,, ,,,"  ",190.0
"MW  ","Segue (I)","G  ",3.4E-4,3.9,0.8,0.8,"  ",,,,,, ,,,"  ",0.26
"MW  ","Ursa Major II","G  ",0.0041,6.7,1.4,1.4,"  ",,,,,, ,,,"  ",3.9
"MW  ","Bootes II","G  ",0.001,10.5,7.4,7.4,"  ",,,,,, ,,,"  ",3.3
"MW  ","Segue II","G  ",8.6E-4,3.4,1.2,2.5,"  ",,,,,, ,,,"  ",0.23
"MW  ","Willman 1","G  ",0.001,4.3,1.3,2.3,"  ",,,,,, ,,,"  ",0.27
"MW  ","Coma Berenices","G  ",0.0037,4.6,0.8,0.8,"  ",,,,,, ,,,"  ",0.94
"MW  ","Bootes III","G  ",0.017,14.0,3.2,3.2,"  ",,,,,, ,,,"  ",
"MW  ","LMC","G  ",1500.0,20.2,0.5,0.5,"  ",49.8,15.9,460.0,15.8,0.2, ,63.0,3.0,"  ",
"MW  ","SMC","G  ",460.0,27.6,0.5,0.5,"  ",,,460.0,22.0,2.0, ,60.0,5.0,"  ",
"MW  ","Bootes (I)","G  ",0.029,2.4,0.5,0.9,"  ",,,,,, ,,,"  ",0.81
"MW  ","Draco","G  ",0.29,9.1,1.2,1.2,"  ",,,,,, ,,,"  ",11.0
"MW  ","Ursa Minor","G  ",0.29,9.5,1.2,1.2,"  ",,,,,, ,,,"  ",9.5
"MW  ","Sculptor","G  ",2.3,9.2,1.4,1.4,"  ",,,0.22,,, ,,,"  ",14.0
"MW  ","Sextans (I)","G  ",0.44,7.9,1.3,1.3,"  ",,,,,, ,,,"  ",25.0
"MW  ","Ursa Major (I)","G  ",0.014,7.6,1.0,1.0,"  ",,,,,, ,,,"  ",11.0
"MW  ","Carina","G  ",0.38,6.6,1.2,1.2,"  ",,,,,, ,,,"  ",6.3
"MW  ","Hercules","G  ",0.037,3.7,0.9,0.9,"  ",,,,,, ,,,"  ",2.6
"MW  ","Fornax","G  ",20.0,11.7,0.9,0.9,"  ",,,0.17,,, ,,,"  ",56.0
"MW  ","Leo IV","G  ",0.019,3.3,1.7,1.7,"  ",,,,,, ,,,"  ",1.3
"MW  ","Canes Venatici II","G  ",0.0079,4.6,1.0,1.0,"  ",,,,,, ,,,"  ",0.91
"MW  ","Leo V","G  ",0.011,3.7,1.4,2.3,"  ",,,,,, ,,,"  ",1.1
"MW  ","Pisces II","G  ",0.0086,,,,"  ",,,,,, ,,,"  ",
"MW  ","Canes Venatici (I)","G  ",0.23,7.6,0.4,0.4,"  ",,,,,, ,,,"  ",19.0
"MW  ","Leo II","G  ",0.74,6.6,0.7,0.7,"  ",,,,,, ,,,"  ",4.6
"MW  ","Leo I","G,L",5.5,9.2,1.4,1.4,"  ",,,,,, ,,,"  ",12.0
"M31 ","Andromeda","A  ",,,,,"  ",,,,,, ,,,"  ",
"M31 ","M32","A  ",320.0,92.0,5.0,5.0,"  ",55.0,3.0,,,, ,,,"  ",540.0
"M31 ","Andromeda IX","A  ",0.15,4.5,3.6,3.6,"  ",,,,,, ,,,"  ",6.5
"M31 ","NGC 205","A  ",330.0,35.0,5.0,5.0,"  ",11.0,5.0,0.4,16.1,, ,,,"  ",420.0
"M31 ","Andromeda XVII","A  ",0.26,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda I","A  ",3.9,10.6,1.1,1.1,"  ",,,,,, ,,,"  ",44.0
"M31 ","Andromeda XXVII","A  ",0.12,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda III","A  ",0.83,4.7,1.8,1.8,"  ",,,,,, ,,,"  ",6.1
"M31 ","Andromeda XXV","A  ",0.68,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda XXVI","A  ",0.06,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda XI","A  ",0.049,4.6,,,"<=",,,,,, ,,,"  ",1.9
"M31 ","Andromeda V","A  ",0.39,11.5,4.4,5.3,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda X","A  ",0.096,3.9,1.2,1.2,"  ",,,,,, ,,,"  ",2.3
"M31 ","Andromeda XXIII","A  ",1.1,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda XX","A  ",0.029,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda XII","A,L",0.031,2.6,2.6,5.1,"  ",,,,,, ,,,"  ",1.2
"M31 ","NGC 147","A  ",62.0,16.0,1.0,1.0,"  ",17.0,2.0,,,, ,,,"  ",93.0
"M31 ","Andromeda XXI","A  ",0.76,,,,"  ",,,,,, ,,,"  ",
"M31 ","Andromeda XIV","A,L",0.2,5.4,1.3,1.3,"  ",,,,,, ,,,"  ",6.1
"M31 ","Andromeda XV","A  ",0.49,11.0,5.0,7.0,"  ",,,,,, ,,,"  ",16.0
"M31 ","Andromeda XIII","A  ",0.041,9.7,4.5,8.9,"  ",,,,,, ,,,"  ",11.0
