SubG,n_Name,Name,MType,RAJ2000,DEJ2000,D,u_D,HRV,f_HRV,D(MW),V(MW),D(LG),V(LG),S,Vmag,u_Vmag,R1,u_R1,muV,f_muV,PA,f_PA,Ell,f_Ell,VMag,f_VMag,Mass,Mdyn,[Fe/H],u_[Fe/H],SimbadName,(m-M),D(M31),E(B-V),E_(m-M),e_(m-M),e_[Fe/H],E_D,e_D,E_muV,e_muV,E_R1,e_R1,E_R2,e_R2,E_sigma*,e_sigma*,e_v_HI,E_Vmag,e_Vmag,E_VMag,e_VMag,e_vsini*,f_M_HI,f_sigma*,f_vsini*,l_sigma*,l_v_HI,M_HI,sigma*,u_(m-M),u_v_HI,V(M31),v_HI,vsini*,Com1,Com3,Com4,Com5,e_Ell,e_HRV,e_PA,e_sigHI,f_OName,f_Ref1,f_Ref2,f_Ref4,GLAT,GLON,l_sigHI,Meth,muEff,OName,R2,Ref1,Ref2,Ref3,Ref4,Ref5,sigHI,u_R2,u_sigHI
"MW  ","G  ","The Galaxy","S(B)bc",266.41666666666663,-29.007777777777775,, ,, ,,,,, ,,"  ",, ,,"  ",,"  ",, ,, ,,,, ,"",,,,,,,,,,,,,,,,,,,,,,, , , ,"  ","  ",,,"  ", ,,,,"Position refers to Sgr A*","","","",,,,, , , , ,,, ,"",,"The MW",,"","     ","","","",, , 
"MW  ","G  ","Canis Major","????",108.14583333333331,-27.666666666666664,7, ,87.0,c,13,-117,394,-172, ,-0.1,"  ",, ,24.0,"b ",123,":c",0.8,:,-14.4,d,49.0,,-0.5, ,"Canis Major",14.29,786,0.264,0.3,0.3,0.2,1,1,0.6,0.6,,,,,3.0,3.0,,0.8,0.8,0.8,0.8,, , , ,"  ","  ",,20.0,"b ", ,-185,,,"MW disk substructure?","","HI measurements complex due to location!","Based primarily on MS stars",,4.0,,, , , , ,-8.0,240.0, ,"CMD fitting",,"",,"300","1,2  ","101,102","201","400",, , 
"MW  ","G  ","Sagittarius dSph","dSph",283.83124999999995,-30.545277777777773,26, ,140.0, ,18,169,400,159, ,3.6,"  ",342.0, ,25.2,"  ",102,"  ",0.64, ,-13.5, ,21.0,190.0,-0.4, ,"Sagittarius dSph",17.1,791,0.153,0.15,0.15,0.2,2,2,0.3,0.3,12.0,12.0,219,219,0.7,0.7,,0.3,0.3,0.3,0.3,,b, ,N,"  ","  ",,11.4,"  ",N,149,,,"Tidally disrupting","","","",0.02,2.0,2,, , , , ,-14.2,5.6, ,"HRS",26.0,"",2587,"301","3,4  ","103,104","202,203,204,205","401",, , 
"MW  ","G  ","Segue (I)","dSph",151.76666666666665,16.081944444444442,23, ,208.5, ,28,113,401,69, ,15.3,"  ",4.4, ,27.6,"  ",85,"  ",0.48, ,-1.5, ,3.4E-4,0.26,-2.72, ,"Segue1",16.8,792,0.031,0.2,0.2,0.4,2,2,1.0,1.0,1.2,0.6,8,5,0.8,0.8,,0.8,0.8,0.8,0.8,, ,c,N,"  ","  ",,3.9,"  ",N,56,,,"","","Stellar velocity gradient constrained to <5km/s at 90% confidence","See also Simon et al. (2011, Cat. J/ApJ/733/46)",0.13,0.9,8,, , , , ,50.4,220.5, ,"MRS",28.7,"",29,"302","5,6  ","105","206,205","402",, , 
"MW  ","G  ","Ursa Major II","dSph",132.87499999999997,63.12999999999999,32, ,-116.5, ,38,-33,380,-3, ,13.3,"  ",16.0, ,27.9,"  ",98,"  ",0.63, ,-4.2, ,0.0041,3.9,-2.47, ,"UMA II GALAXY",17.5,771,0.094,0.3,0.3,0.06,4,4,0.6,0.6,1.0,1.0,21,21,1.4,1.4,,0.5,0.5,0.6,0.6,, , ,N,"  ","  ",,6.7,"  ",N,11,,,"","","Velocity difference of 8.4+/-1.4km/s between stars in the east and west","",0.05,1.9,4,, , , , ,37.4,152.5, ,"MRS",29.1,"",149,"303","7,8  ","105","207,205","403,404",, , 
"MW  ","G  ","Bootes II","dSph",209.49999999999997,12.849999999999998,42, ,-117.0, ,40,-116,416,-156, ,15.4,"  ",4.2, ,28.1,"  ",145,"  ",0.21, ,-2.7, ,0.001,3.3,-1.79, ,"Bootes II",18.1,807,0.031,0.06,0.06,0.05,1,1,1.6,1.6,1.4,1.4,17,17,7.4,7.4,,0.9,0.9,0.9,0.9,, , , ,"  ","  ",,10.5,"  ",N,-174,,,"","","","",0.21,5.2,55,, , , , ,68.9,353.7, ,"MRS (CaT)",29.1,"",51,"304","9,10 ","105","208,205","405",, , 
"MW  ","G  ","Segue II","dSph",34.81666666666666,20.175277777777776,35, ,-39.2, ,41,43,361,112, ,15.2,"  ",3.4, ,27.4,"  ",182,"  ",0.15, ,-2.5, ,8.6E-4,0.23,-2.0, ,"Segue2",17.7,753,0.185,0.1,0.1,0.25,2,2,0.4,0.4,0.2,0.2,3,3,2.5,1.2,,0.3,0.3,0.3,0.3,, , , ,"  ","  ",,3.4,"  ", ,141,,,"","","","",0.1,2.5,17,, , , , ,-38.1,149.4, ,"HRS",28.6,"",35,"305","11   ","106","209","305",, , 
"MW  ","G  ","Willman 1","dSph",162.33749999999998,51.04999999999999,38, ,-12.3, ,43,35,390,41, ,15.2,"  ",2.3, ,26.1,"  ",77,"  ",0.47, ,-2.7, ,0.001,0.27,-2.1,:,"WILLMAN I",17.9,780,0.014,0.4,0.4,,7,7,0.9,0.9,0.4,0.4,6,6,2.3,1.3,,0.7,0.7,0.8,0.8,, , , ,"  ","  ",,4.3,"  ",N,44,,,"Cluster?","","","Based on three stars",0.08,2.5,5,, , , , ,56.8,158.6, ,"MRS",27.2,"SDSS J1049+5103",25,"306","12,13","105","210,205","406",, , 
"MW  ","G  ","Coma Berenices","dSph",186.7458333333333,23.904166666666665,44, ,98.1, ,45,82,412,46, ,14.1,"  ",6.0, ,27.3,"  ",115,"  ",0.38, ,-4.1, ,0.0037,0.94,-2.6, ,"Coma Berenices",18.2,802,0.017,0.2,0.2,0.05,4,4,0.7,0.7,0.6,0.6,10,10,0.8,0.8,,0.5,0.5,0.5,0.5,, , ,N,"  ","  ",,4.6,"  ",N,32,,,"","","Stellar velocity gradient of 5.5+/-1.2km/s/deg","",0.14,0.9,10,, , , , ,83.6,241.9, ,"MRS",28.4,"",77,"302","5,8  ","105","207,205","403,404",, , 
"MW  ","G  ","Bootes III","dSph?",209.29999999999998,26.799999999999997,47, ,197.5, ,46,240,410,219, ,12.6,"  ",, ,31.3,"e ",90,": ",0.5,:,-5.8,d,0.017,,-2.1, ,"Bootes III",18.35,800,0.021,0.1,0.1,0.2,2,2,0.3,0.3,,,,,3.2,3.2,,0.5,0.5,0.5,0.5,, , , ,"  ","  ",,14.0,"  ", ,207,,,"Very diffuse. Tidal remnant?","","","",,3.8,,, , , , ,75.4,35.4, ,"MRS",,"",,"307","14,15","107","211","407",, , 
