# -	-		J2000		J2000		mag		mag		mag		-		-		-		mag/arcsec^2					km/s						mag						-		-		pc						1E6Msun						Msun/Lsun					kpc
# ------	-------------	--------------	--------------	----------------------------------------------	----------------------------------------------	----------------------------------------------	-----------------------------------------------	----------------------------------------------	-------------------------------	----------------------------------------------	-----------------------------------------------	----------------------------------------------	-----------
	 SubG 	       Name 	          RA 	          DEC 	 (m-M) 	 e_(m-M) 	 E_(m-M) 	    e 	  de- 	  de+ 	 mu_vo 	 e_mu_vo 	 E_mu_vo 	 sigma 	 e_sigma 	 E_sigma 	     MV 	 e_MV 	 E_MV 	    n 	  e_n 	     rs 	   e_rs 	  E_rs 	  Mdyn 	 e_Mdyn 	 E_Mdyn 	    ML 	  e_ML 	  E_ML 	 Dmin 	    LV 	  e_LV 	  E_LV 	   Mtot 	 e_Mtot 	 E_Mtot 	 McConnCrossmatch 	
	  M31 	      And I 	 00h45m39.8s 	 +38d02m28.0s 	 24.36 	    0.07 	    0.07 	 0.28 	  0.3 	  0.3 	  25.4 	     0.2 	     0.2 	  10.2 	     1.9 	     1.9 	  -11.2 	  0.2 	  0.2 	      	      	  815.0 	   40.0 	  40.0 	  79.0 	   27.0 	   32.0 	  61.0 	  22.0 	  28.0 	   56 	  2.58 	  0.48 	  0.48 	  157.0 	   64.0 	   78.0 	             True 	
	  M31 	     And II 	 01h16m29.8s 	 +33d25m09.0s 	 24.07 	    0.06 	    0.06 	 0.16 	  0.2 	  0.2 	  25.6 	     0.2 	     0.2 	   7.8 	     1.1 	     1.1 	  -11.6 	  0.2 	  0.2 	      	      	  965.0 	   45.0 	  45.0 	  55.0 	   14.0 	   17.0 	  29.0 	   9.0 	  11.0 	  181 	  3.73 	  0.69 	  0.69 	  108.0 	   39.0 	   46.0 	             True 	
	  M31 	    And III 	 00h35m33.8s 	 +36d29m52.0s 	 24.37 	    0.07 	    0.07 	 0.59 	 0.04 	 0.04 	  25.1 	     0.3 	     0.3 	   9.3 	     1.4 	     1.4 	   -9.5 	  0.3 	  0.3 	      	      	  405.0 	   35.0 	  35.0 	  33.0 	    9.0 	   11.0 	 119.0 	  41.0 	  59.0 	   73 	  0.54 	  0.15 	  0.15 	   64.0 	   28.0 	   37.0 	             True 	
	  M31 	      And V 	 01h19m17.1s 	 +47d37m41.0s 	 24.44 	    0.08 	    0.08 	 0.26 	 0.07 	 0.09 	  25.6 	     0.3 	     0.3 	  11.5 	     4.4 	     5.4 	   -9.3 	  0.2 	  0.2 	      	      	  345.0 	   40.0 	  40.0 	  47.0 	   16.0 	   20.0 	 211.0 	  83.0 	 112.0 	  109 	 0.449 	 0.083 	 0.083 	   95.0 	   41.0 	   53.0 	            False 	
	  M31 	     And VI 	 23h51m46.3s 	 +24d32m57.0s 	 24.47 	    0.07 	    0.07 	 0.41 	 0.03 	 0.03 	  24.1 	     0.2 	     0.2 	  12.4 	     1.3 	     1.5 	  -11.5 	  0.2 	  0.2 	      	      	  524.0 	   49.0 	  49.0 	  74.0 	   17.0 	   20.0 	  45.0 	  13.0 	  17.0 	  268 	   3.4 	  0.63 	  0.63 	  153.0 	   53.0 	   64.0 	            False 	
	  M31 	    And VII 	 23h26m31.7s 	 +50d40m33.0s 	 24.41 	     0.1 	     0.1 	 0.13 	 0.04 	 0.04 	  23.2 	     0.2 	     0.2 	  13.0 	     1.0 	     1.0 	  -13.2 	  0.3 	  0.3 	      	      	  775.0 	   43.0 	  43.0 	 121.0 	   19.0 	   20.0 	  15.0 	   4.0 	   6.0 	  218 	  16.3 	   4.5 	   4.5 	  244.0 	   94.0 	  120.0 	             True 	
	  M31 	    And XIV 	 00h51m35.0s 	 +29d41m49.0s 	  24.5 	    0.56 	    0.06 	 0.17 	 0.17 	 0.16 	  26.3 	     0.3 	     0.3 	   5.3 	     1.0 	     1.0 	   -8.5 	  0.3 	  0.4 	      	      	  265.0 	        	       	   7.0 	    2.0 	    3.0 	  64.0 	  25.0 	  36.0 	  161 	 0.215 	 0.059 	 0.059 	   13.8 	    6.6 	    8.6 	             True 	
	  M31 	    And XVI 	 00h59m29.8s 	 +32d22m36.0s 	 23.39 	    0.14 	    0.19 	 0.29 	 0.08 	 0.08 	  25.5 	     0.3 	     0.3 	   3.8 	     2.9 	     2.9 	   -7.3 	  0.3 	  0.3 	      	      	  130.0 	   15.0 	  30.0 	   1.7 	    1.5 	    3.7 	  48.0 	  42.0 	 105.0 	  320 	 0.071 	  0.02 	  0.02 	    3.4 	    3.1 	    7.5 	             True 	
	  M31 	   And XVII 	 00h37m07.0s 	 +44d19m20.0s 	 24.31 	    0.08 	    0.11 	  0.5 	  0.1 	  0.1 	  26.4 	     0.3 	     0.4 	   2.9 	     1.9 	     2.2 	   -7.8 	  0.3 	  0.3 	      	      	  285.0 	   45.0 	  55.0 	   2.2 	    1.9 	    4.4 	  39.0 	  34.0 	  84.0 	   67 	 0.113 	 0.031 	 0.031 	    4.4 	    4.0 	    9.6 	            False 	
	  ISO 	  And XVIII 	 00h02m14.5s 	 +45d05m20.0s 	 25.36 	    0.08 	    0.08 	 0.44 	 0.12 	 0.12 	  23.5 	     0.7 	     0.7 	   9.7 	     2.3 	     2.3 	  -10.9 	  0.3 	  0.3 	 0.95 	  0.1 	  316.0 	   22.0 	  22.0 	  27.0 	   12.0 	   15.0 	  28.0 	  13.0 	  20.0 	  424 	  1.96 	  0.54 	  0.54 	   55.0 	   30.0 	   42.0 	            False 	
	  M31 	     And XX 	 00h07m30.7s 	 +35d07m56.0s 	 24.35 	    0.16 	    0.12 	 0.11 	 0.11 	 0.41 	  25.8 	     0.7 	     0.7 	   7.1 	     2.5 	     3.9 	   -6.4 	  0.4 	  0.5 	      	      	   90.0 	   20.0 	  35.0 	   4.0 	    3.0 	    5.0 	 242.0 	 197.0 	 465.0 	  128 	 0.031 	 0.011 	 0.011 	    7.5 	    6.7 	   15.0 	            False 	
	  M31 	   And XXIX 	 23h58m55.6s 	 +30d45m20.0s 	 24.32 	    0.22 	    0.22 	 0.35 	 0.06 	 0.06 	  26.4 	     0.9 	     0.9 	   5.7 	     1.2 	     1.2 	   -8.3 	  0.5 	  0.5 	      	      	  362.0 	   55.0 	  57.0 	  11.0 	    4.0 	    6.0 	 116.0 	  54.0 	  93.0 	  187 	 0.179 	 0.082 	 0.082 	   21.0 	   14.0 	   19.0 	            False 	
	  ISO 	 And XXVIII 	 22h32m41.2s 	 +31d12m58.0s 	 24.44 	    0.04 	    0.04 	 0.42 	 0.06 	 0.06 	  25.5 	     0.9 	     0.9 	   6.6 	     2.1 	     2.9 	   -9.1 	  0.5 	  0.5 	 0.84 	 0.13 	  316.0 	   22.0 	  22.0 	  12.6 	    8.0 	   11.0 	  61.0 	  43.0 	  92.0 	  374 	  0.37 	  0.17 	  0.17 	   23.0 	   19.0 	   36.0 	            False 	
	  M31 	    And XXX 	 00h36m34.9s 	 +49d38m48.0s 	 24.17 	    0.26 	     0.1 	 0.43 	 0.12 	  0.1 	  26.1 	     0.3 	     0.3 	  11.8 	     4.7 	     7.7 	   -8.0 	  0.3 	  0.4 	      	      	  270.0 	   50.0 	  50.0 	  33.0 	   26.0 	   47.0 	 488.0 	 411.0 	 957.0 	  145 	 0.136 	 0.037 	 0.037 	   66.0 	   59.0 	  130.0 	            False 	
	  M31 	   And XXXI 	 22h58m16.3s 	 +41d17m38.0s 	  24.4 	    0.12 	    0.12 	 0.43 	 0.07 	 0.07 	  25.8 	     0.8 	     0.8 	  10.3 	     0.9 	     0.9 	  -11.7 	  0.7 	  0.7 	      	      	  927.0 	  121.0 	 102.0 	  60.0 	   11.0 	   10.0 	  29.0 	  14.0 	  28.0 	  262 	   4.1 	   2.6 	   2.6 	  119.0 	   95.0 	  140.0 	            False 	
	  M31 	  And XXXII 	 00h35m59.4s 	 +51d33m35.0s 	 24.45 	    0.14 	    0.14 	  0.5 	 0.09 	 0.09 	  26.4 	     0.8 	     0.8 	   8.4 	     0.6 	     0.6 	  -12.3 	  0.7 	  0.7 	      	      	 1468.0 	  244.0 	 288.0 	 142.0 	   34.0 	   40.0 	  41.0 	  21.0 	  42.0 	  140 	   7.1 	   4.6 	   4.6 	  290.0 	  240.0 	  350.0 	            False 	
