SubG,Name,n_Name,Vmag,E_Vmag,e_Vmag,R1,e_R1,E_R1,muV,e_muV,E_muV,PA,e_PA,Ell,e_Ell,VMag,E_VMag,e_VMag,R2,e_R2,E_R2,muEff
"MW  ","The Galaxy","G  ",,,,,,,,,,,,,,,,,,,,
"MW  ","Canis Major","G  ",-0.1,0.8,0.8,,,,24.0,0.6,0.6,123,,0.8,,-14.4,0.8,0.8,,,,
"MW  ","Sagittarius dSph","G  ",3.6,0.3,0.3,342.0,12.0,12.0,25.2,0.3,0.3,102,2,0.64,0.02,-13.5,0.3,0.3,2587,219,219,26.0
"MW  ","Segue (I)","G  ",15.3,0.8,0.8,4.4,0.6,1.2,27.6,1.0,1.0,85,8,0.48,0.13,-1.5,0.8,0.8,29,5,8,28.7
"MW  ","Ursa Major II","G  ",13.3,0.5,0.5,16.0,1.0,1.0,27.9,0.6,0.6,98,4,0.63,0.05,-4.2,0.6,0.6,149,21,21,29.1
"MW  ","Bootes II","G  ",15.4,0.9,0.9,4.2,1.4,1.4,28.1,1.6,1.6,145,55,0.21,0.21,-2.7,0.9,0.9,51,17,17,29.1
"MW  ","Segue II","G  ",15.2,0.3,0.3,3.4,0.2,0.2,27.4,0.4,0.4,182,17,0.15,0.1,-2.5,0.3,0.3,35,3,3,28.6
"MW  ","Willman 1","G  ",15.2,0.7,0.7,2.3,0.4,0.4,26.1,0.9,0.9,77,5,0.47,0.08,-2.7,0.8,0.8,25,6,6,27.2
"MW  ","Coma Berenices","G  ",14.1,0.5,0.5,6.0,0.6,0.6,27.3,0.7,0.7,115,10,0.38,0.14,-4.1,0.5,0.5,77,10,10,28.4
"MW  ","Bootes III","G  ",12.6,0.5,0.5,,,,31.3,0.3,0.3,90,,0.5,,-5.8,0.5,0.5,,,,
"MW  ","LMC","G  ",0.4,0.1,0.1,,,,,,,,,,,-18.1,0.1,0.1,,,,
"MW  ","SMC","G  ",2.2,0.2,0.2,,,,,,,,,,,-16.8,0.2,0.2,,,,
"MW  ","Bootes (I)","G  ",12.8,0.2,0.2,12.6,1.0,1.0,27.5,0.3,0.3,14,6,0.39,0.06,-6.3,0.2,0.2,242,21,21,28.7
"MW  ","Draco","G  ",10.6,0.2,0.2,10.0,0.3,0.3,25.0,0.2,0.2,89,2,0.31,0.02,-8.8,0.3,0.3,221,19,19,26.1
"MW  ","Ursa Minor","G  ",10.6,0.5,0.5,8.2,1.2,1.2,26.0,0.5,0.5,53,5,0.56,0.05,-8.8,0.5,0.5,181,27,27,25.2
"MW  ","Sculptor","G  ",8.6,0.5,0.5,11.3,1.6,1.6,23.5,0.5,0.5,99,1,0.32,0.03,-11.1,0.5,0.5,283,45,45,24.3
"MW  ","Sextans (I)","G  ",10.4,0.5,0.5,27.8,1.2,1.2,27.1,0.5,0.5,56,5,0.35,0.05,-9.3,0.5,0.5,695,44,44,28.0
"MW  ","Ursa Major (I)","G  ",14.4,0.3,0.3,11.3,1.7,1.7,27.7,0.5,0.5,71,3,0.8,0.04,-5.5,0.3,0.3,319,50,50,28.8
"MW  ","Carina","G  ",11.0,0.5,0.5,8.2,1.2,1.2,25.5,0.5,0.5,65,5,0.33,0.05,-9.1,0.5,0.5,250,39,39,26.0
"MW  ","Hercules","G  ",14.0,0.3,0.3,8.6,1.1,1.8,27.2,0.6,0.6,102,4,0.68,0.08,-6.6,0.4,0.4,330,52,75,28.3
"MW  ","Fornax","G  ",7.4,0.3,0.3,16.6,1.2,1.2,23.3,0.3,0.3,41,1,0.3,0.01,-13.4,0.3,0.3,710,77,77,24.0
"MW  ","Leo IV","G  ",15.1,0.4,0.4,4.6,0.8,0.8,27.5,0.7,0.7,121,9,0.49,0.11,-5.8,0.4,0.4,206,37,37,28.6
"MW  ","Canes Venatici II","G  ",16.1,0.5,0.5,1.6,0.3,0.3,26.1,0.7,0.7,177,9,0.52,0.11,-4.9,0.5,0.5,74,14,14,27.2
"MW  ","Leo V","G  ",16.0,0.4,0.4,2.6,0.6,0.6,27.1,0.8,0.8,96,13,0.5,0.15,-5.2,0.4,0.4,135,32,32,28.2
"MW  ","Pisces II","G  ",16.3,0.5,0.5,1.1,0.1,0.1,25.7,0.6,0.6,77,12,0.4,0.1,-5.0,,,58,99,99,26.8
"MW  ","Canes Venatici (I)","G  ",13.1,0.2,0.2,8.9,0.4,0.4,27.1,0.2,0.2,70,4,0.39,0.03,-8.6,0.2,0.2,564,36,36,28.2
"MW  ","Leo II","G  ",12.0,0.3,0.3,2.6,0.6,0.6,24.2,0.3,0.3,12,10,0.13,0.05,-9.8,0.3,0.3,176,42,42,24.8
"MW  ","Leo I","G,L",10.0,0.3,0.3,3.4,0.3,0.3,22.6,0.3,0.3,79,3,0.21,0.03,-12.0,0.3,0.3,251,27,27,23.3
"M31 ","Andromeda","A  ",,,,,,,,,,,,,,,,,,,,
"M31 ","M32","A  ",8.1,0.1,0.1,0.47,0.05,0.05,11.1,,,159,2,0.25,0.02,-16.4,0.2,0.2,110,16,16,17.0
"M31 ","Andromeda IX","A  ",16.3,1.1,1.1,2.5,0.1,0.1,28.0,1.2,1.2,,,,,-8.1,1.1,1.1,557,29,29,29.2
"M31 ","NGC 205","A  ",8.1,0.1,0.1,2.46,0.1,0.1,15.4,,,28,5,0.43,0.1,-16.5,0.1,0.1,590,31,31,20.3
"M31 ","Andromeda XVII","A  ",15.8,0.4,0.4,1.24,0.08,0.08,25.7,0.5,0.5,122,7,0.27,0.06,-8.7,0.4,0.4,286,23,23,26.8
"M31 ","Andromeda I","A  ",12.7,0.1,0.1,3.1,0.3,0.3,24.7,0.2,0.2,22,15,0.22,0.04,-11.7,0.1,0.1,672,69,69,25.8
"M31 ","Andromeda XXVII","A  ",16.7,0.5,0.5,1.8,0.3,0.3,27.6,0.5,0.5,150,10,0.4,0.2,-7.9,0.5,0.5,434,76,76,28.3
"M31 ","Andromeda III","A  ",14.4,0.3,0.3,2.2,0.2,0.2,24.8,0.2,0.2,136,3,0.52,0.02,-10.0,0.3,0.3,479,46,46,26.2
"M31 ","Andromeda XXV","A  ",14.8,0.5,0.5,3.0,0.2,0.2,27.1,0.5,0.5,170,10,0.25,0.05,-9.7,0.5,0.5,709,61,61,27.8
"M31 ","Andromeda XXVI","A  ",17.3,0.5,0.5,1.0,0.1,0.1,27.4,0.5,0.5,145,10,0.25,0.05,-7.1,0.5,0.5,222,25,25,27.9
"M31 ","Andromeda XI","A  ",17.5,1.2,1.2,0.71,0.03,0.03,26.5,1.3,1.3,,,,,-6.9,1.3,1.3,157,37,16,27.6
