SubG,[Fe/H],e_[Fe/H]
"MW  ",,
"MW  ",-0.5,0.2
"MW  ",-0.4,0.2
"MW  ",-2.72,0.4
"MW  ",-2.47,0.06
"MW  ",-1.79,0.05
"MW  ",-2.0,0.25
"MW  ",-2.1,
"MW  ",-2.6,0.05
"MW  ",-2.1,0.2
"MW  ",-0.5,
"MW  ",-1.0,0.02
"MW  ",-2.55,0.11
"MW  ",-1.93,0.01
"MW  ",-2.13,0.01
"MW  ",-1.68,0.01
"MW  ",-1.93,0.01
"MW  ",-2.18,0.04
"MW  ",-1.72,0.01
"MW  ",-2.41,0.04
"MW  ",-0.99,0.01
"MW  ",-2.54,0.07
"MW  ",-2.21,0.05
"MW  ",-2.0,0.2
"MW  ",-1.9,
"MW  ",-1.98,0.01
"MW  ",-1.62,0.01
"MW  ",-1.43,0.01
"M31 ",,
"M31 ",-0.25,
"M31 ",-2.2,0.2
"M31 ",-0.8,0.2
"M31 ",-1.9,0.2
"M31 ",-1.45,0.04
"M31 ",-1.7,0.2
"M31 ",-1.78,0.04
"M31 ",-1.8,0.2
"M31 ",-1.9,0.2
"M31 ",-2.0,0.2
"M31 ",-1.6,0.3
"M31 ",-1.93,0.11
"M31 ",-1.8,0.2
"M31 ",-1.5,0.1
"M31 ",-2.1,0.2
"M31 ",-1.1,0.1
"M31 ",-1.8,0.2
"M31 ",-2.26,0.05
"M31 ",-1.8,0.2
"M31 ",-1.9,0.2
"M31 ",-1.64,0.04
"M31 ",-1.3,0.1
"M31 ",-1.8,
"M31 ",-1.9,0.1
"M31 ",,
"M31 ",-1.8,0.2
"M31 ",-1.4,0.3
"M31 ",-1.8,
"M31 ",-1.28,
"M31 ",-2.1,0.22
"M31 ",-1.3,0.14
"M31 ",-2.1,0.2
"Rest",,
"Rest",-1.6,0.2
"Rest",-1.37,0.2
"Rest",-1.0,0.5
"Rest",-1.9,0.1
"Rest",-1.4,0.2
"Rest",-1.99,0.05
"Rest",-1.27,0.04
"Rest",-1.4,0.2
"Rest",-1.8,0.1
"Rest",-1.3,0.2
"Rest",-1.95,0.15
"Rest",-2.1,0.2
"Rest",-1.5,0.2
"Rest",-1.84,0.2
"Rest",,
"Rest",-1.6,0.1
"Rest",-1.85,
"Rest",,
"Rest",,
"Rest",-2.1,0.3
"Rest",-1.93,0.2
"Rest",,
"Rest",-1.48,0.17
"Rest",,
"Rest",,
"Rest",-1.94,0.25
"Rest",-1.68,0.19
"Rest",-2.02,0.25
"Rest",,
"Rest",-2.33,0.24
"Rest",-1.91,0.19
"Rest",,
"Rest",-1.73,0.17
"Rest",,
"Rest",-2.13,0.22
"Rest",-1.34,0.13
"Rest",-2.0,0.08
"Rest",-2.33,0.29
