SubG	Name	RAJ2000	DEJ2000	VMag	e_VMag	E_VMag	R2	e_R2	E_R2	sigma*	e_sigma*	E_sigma*	Mdyn
MW	Sagittarius dSph	283.83124999999995	-30.545277777777773	-13.5	0.3	0.3	2587	219	219	11.4	0.7	0.7	190.0
MW	Segue (I)	151.76666666666665	16.081944444444442	-1.5	0.8	0.8	29	5	8	3.9	0.8	0.8	0.26
MW	Ursa Major II	132.87499999999997	63.12999999999999	-4.2	0.6	0.6	149	21	21	6.7	1.4	1.4	3.9
MW	Bootes II	209.49999999999997	12.849999999999998	-2.7	0.9	0.9	51	17	17	10.5	7.4	7.4	3.3
MW	Segue II	34.81666666666666	20.175277777777776	-2.5	0.3	0.3	35	3	3	3.4	1.2	2.5	0.23
MW	Willman 1	162.33749999999998	51.04999999999999	-2.7	0.8	0.8	25	6	6	4.3	1.3	2.3	0.27
MW	Coma Berenices	186.7458333333333	23.904166666666665	-4.1	0.5	0.5	77	10	10	4.6	0.8	0.8	0.94
MW	Bootes (I)	210.02499999999998	14.499999999999998	-6.3	0.2	0.2	242	21	21	2.4	0.5	0.9	0.81
MW	Draco	260.0516666666666	57.91527777777777	-8.8	0.3	0.3	221	19	19	9.1	1.2	1.2	11.0
MW	Ursa Minor	227.28541666666663	67.2225	-8.8	0.5	0.5	181	27	27	9.5	1.2	1.2	9.5
MW	Sculptor	15.039166666666665	-33.70916666666666	-11.1	0.5	0.5	283	45	45	9.2	1.4	1.4	14.0
MW	Sextans (I)	153.2625	-1.614722222222222	-9.3	0.5	0.5	695	44	44	7.9	1.3	1.3	25.0
MW	Ursa Major (I)	158.71999999999997	51.919999999999995	-5.5	0.3	0.3	319	50	50	7.6	1.0	1.0	11.0
MW	Carina	100.40291666666666	-50.966111111111104	-9.1	0.5	0.5	250	39	39	6.6	1.2	1.2	6.3
MW	Hercules	247.7583333333333	12.791666666666664	-6.6	0.4	0.4	330	52	75	3.7	0.9	0.9	2.6
MW	Fornax	39.99708333333333	-34.44916666666666	-13.4	0.3	0.3	710	77	77	11.7	0.9	0.9	56.0
MW	Leo IV	173.23749999999998	-0.5333333333333332	-5.8	0.4	0.4	206	37	37	3.3	1.7	1.7	1.3
MW	Canes Venatici II	194.29166666666663	34.320833333333326	-4.9	0.5	0.5	74	14	14	4.6	1.0	1.0	0.91
MW	Leo V	172.78999999999996	2.2199999999999998	-5.2	0.4	0.4	135	32	32	3.7	1.4	2.3	1.1
MW	Canes Venatici (I)	202.0145833333333	33.555833333333325	-8.6	0.2	0.2	564	36	36	7.6	0.4	0.4	19.0
MW	Leo II	168.36999999999998	22.151666666666664	-9.8	0.3	0.3	176	42	42	6.6	0.7	0.7	4.6
MW	Leo I	152.1170833333333	12.306388888888888	-12.0	0.3	0.3	251	27	27	9.2	1.4	1.4	12.0
M31	M32	10.674166666666665	40.86527777777777	-16.4	0.2	0.2	110	16	16	92.0	5.0	5.0	540.0
M31	Andromeda IX	13.220833333333331	43.195833333333326	-8.1	1.1	1.1	557	29	29	4.5	3.6	3.6	6.5
M31	NGC 205	10.092083333333331	41.68527777777777	-16.5	0.1	0.1	590	31	31	35.0	5.0	5.0	420.0
M31	Andromeda I	11.415833333333332	38.04111111111111	-11.7	0.1	0.1	672	69	69	10.6	1.1	1.1	44.0
M31	Andromeda III	8.890833333333331	36.49777777777777	-10.0	0.3	0.3	479	46	46	4.7	1.8	1.8	6.1
M31	Andromeda XI	11.583333333333332	33.80138888888889	-6.9	1.3	1.3	157	37	16	4.6			1.9
M31	Andromeda X	16.640416666666663	44.804444444444435	-7.6	1.0	1.0	265	33	33	3.9	1.2	1.2	2.3
M31	Andromeda XII	11.862499999999999	34.37472222222222	-6.4	1.2	1.2	304	66	66	2.6	2.6	5.1	1.2
M31	NGC 147	8.300416666666665	48.50888888888888	-14.6	0.1	0.1	623			16.0	1.0	1.0	93.0
M31	Andromeda XIV	12.895833333333332	29.69694444444444	-8.4	0.6	0.6	363	180	180	5.4	1.3	1.3	6.1
M31	Andromeda XV	18.577916666666663	38.11749999999999	-9.4	0.4	0.4	222	22	22	11.0	5.0	7.0	16.0
M31	Andromeda XIII	12.962499999999999	33.00444444444444	-6.7	1.3	1.3	207	44	23	9.7	4.5	8.9	11.0
M31	Andromeda II	19.124166666666664	33.41916666666666	-12.4	0.2	0.2	1176	50	50	7.3	0.8	0.8	36.0
M31	NGC 185	9.741666666666665	48.33749999999999	-14.8	0.1	0.1	458			24.0	1.0	1.0	150.0
M31	Andromeda VII	351.6320833333333	50.67583333333333	-12.6	0.3	0.3	776	42	42	9.7	1.6	1.6	42.0
M31	LGS 3 (Local Group Suspect 3)	15.979166666666664	21.884999999999998	-10.1	0.1	0.1	470	47	47	7.9	2.9	5.3	17.0
M31	Andromeda XVI	14.874166666666664	32.376666666666665	-9.2	0.4	0.4	136	15	15	10.0			7.9
Rest	Cetus	6.5458333333333325	-11.044444444444443	-11.2	0.2	0.2	703	31	31	17.0	2.0	2.0	120.0
Rest	Leo T	143.72249999999997	17.051388888888887	-8.0	0.5	0.5	120	9	9	7.5	1.6	1.6	3.9
Rest	WLM (Wolf-Lundmark-Melotte)	0.49249999999999994	-15.460833333333332	-14.2	0.1	0.1	2111			17.5	2.0	2.0	380.0
Rest	Leo A	149.86041666666665	30.746388888888884	-12.1	0.2	0.2	499			9.3	1.3	1.3	25.0
Rest	Tucana	340.4566666666666	-64.41944444444444	-9.5	0.2	0.2	284	54	54	15.8	3.1	4.1	41.0
