	 SubG 	                          Name 	          RA 	        DEC 	    Mass 	  VMag 	 e_VMag 	 E_VMag 	   R2 	 e_R2 	 E_R2 	 sigma* 	 e_sigma* 	 E_sigma* 	  Mdyn 	 Mdyn2 	 e_Mdyn2 	 E_Mdyn2 	      LV 	    e_LV 	    E_LV 	     ML 	    e_ML 	    E_ML 	   Mtot 	 e_Mtot 	 E_Mtot 	 SoloCrossmatch 	
	  M31 	                   Andromeda I 	 00h45m39.8s 	 +38d02m28s 	     3.9 	 -11.7 	    0.1 	    0.1 	  672 	   69 	   69 	   10.6 	      1.1 	      1.1 	  44.0 	  44.0 	    10.0 	    10.0 	    4.09 	    0.38 	    0.38 	   21.4 	     5.3 	     5.3 	   88.0 	   20.0 	   20.0 	           True 	
	  M31 	                  Andromeda II 	 01h16m29.8s 	 +33d25m09s 	     7.6 	 -12.4 	    0.2 	    0.2 	 1176 	   50 	   50 	    7.3 	      0.8 	      0.8 	  36.0 	  36.3 	     8.1 	     8.1 	     7.8 	     1.4 	     1.4 	    9.3 	     2.7 	     2.7 	   73.0 	   16.0 	   16.0 	           True 	
	  M31 	                 Andromeda III 	 00h35m33.8s 	 +36d29m52s 	    0.83 	 -10.0 	    0.3 	    0.3 	  479 	   46 	   46 	    4.7 	      1.8 	      1.8 	   6.1 	   6.1 	     4.7 	     4.7 	    0.86 	    0.24 	    0.24 	   14.0 	    12.0 	    12.0 	   12.3 	    9.5 	    9.5 	           True 	
	  M31 	                  Andromeda IX 	   00h52m53s 	 +43d11m45s 	    0.15 	  -8.1 	    1.1 	    1.1 	  557 	   29 	   29 	    4.5 	      3.6 	      3.6 	   6.5 	   7.0 	    10.0 	    10.0 	    0.15 	    0.15 	    0.15 	   90.0 	   170.0 	   170.0 	   13.0 	   21.0 	   21.0 	          False 	
	  M31 	                 Andromeda VII 	 23h26m31.7s 	 +50d40m33s 	     9.5 	 -12.6 	    0.3 	    0.3 	  776 	   42 	   42 	    9.7 	      1.6 	      1.6 	  42.0 	  42.0 	    14.0 	    14.0 	     9.4 	     2.6 	     2.6 	    9.0 	     3.9 	     3.9 	   85.0 	   28.0 	   28.0 	           True 	
	  M31 	                   Andromeda X 	 01h06m33.7s 	 +44d48m16s 	   0.096 	  -7.6 	    1.0 	    1.0 	  265 	   33 	   33 	    3.9 	      1.2 	      1.2 	   2.3 	   2.3 	     1.5 	     1.5 	   0.094 	   0.086 	   0.086 	   50.0 	    56.0 	    56.0 	    4.7 	    2.9 	    2.9 	          False 	
	  M31 	                  Andromeda XI 	   00h46m20s 	 +33d48m05s 	   0.049 	  -6.9 	    1.3 	    1.3 	  157 	   37 	   16 	    4.6 	          	          	   1.9 	   1.9 	     1.1 	    0.98 	   0.049 	   0.059 	   0.059 	   80.0 	   100.0 	   100.0 	    3.9 	    2.1 	    2.0 	          False 	
	  M31 	                 Andromeda XII 	   00h47m27s 	 +34d22m29s 	   0.031 	  -6.4 	    1.2 	    1.2 	  304 	   66 	   66 	    2.6 	      2.6 	      5.1 	   1.2 	   1.2 	     2.4 	     4.7 	   0.031 	   0.034 	   0.034 	   80.0 	   180.0 	   310.0 	    2.4 	    4.8 	    9.4 	          False 	
	  M31 	                Andromeda XIII 	   00h51m51s 	 +33d00m16s 	   0.041 	  -6.7 	    1.3 	    1.3 	  207 	   44 	   23 	    9.7 	      4.5 	      8.9 	  11.0 	  11.0 	    11.0 	    21.0 	   0.041 	   0.049 	   0.049 	  550.0 	   840.0 	  1200.0 	   23.0 	   22.0 	   42.0 	          False 	
	  M31 	                 Andromeda XIV 	   00h51m35s 	 +29d41m49s 	     0.2 	  -8.4 	    0.6 	    0.6 	  363 	  180 	  180 	    5.4 	      1.3 	      1.3 	   6.1 	   6.1 	     4.2 	     4.2 	     0.2 	    0.11 	    0.11 	   63.0 	    55.0 	    55.0 	   12.3 	    8.5 	    8.5 	           True 	
